transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,gender,job_title,wealth_segment,deceased_indicator,owns_car,tenure,Age,postcode,job_title_transaction_count,postcode_transaction_count,age_transaction_count,tenure_transaction_count,recency,frequency,total_monetary_value
23,37,2001,2017-04-08,True,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,2015-05-21,Female,Analog Circuit Design manager,Mass Customer,N,Yes,3.0,40.0,2800.0,5.666666666666667,6.5,5.849162011173185,5.767605633802817,86,8,10016.79
24,82,515,2017-10-18,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2016-02-04,Female,Help Desk Operator,High Net Worth,N,No,8.0,28.0,2026.0,6.576923076923077,5.777777777777778,6.043478260869565,5.608695652173913,14,9,12264.8
25,89,2822,2017-06-11,False,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,1993-04-20,Female,Professor,Mass Customer,N,No,3.0,36.0,3124.0,5.928571428571429,5.571428571428571,5.871428571428571,5.767605633802817,11,9,8764.17
26,64,2596,2017-01-10,False,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,2015-05-21,Female,Assistant Professor,Affluent Customer,N,Yes,13.0,41.0,2280.0,6.424242424242424,5.0,5.782608695652174,5.624277456647399,72,5,7674.39
27,64,2666,2017-04-11,True,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,2012-05-18,Male,Occupational Therapist,Mass Customer,N,No,9.0,0.0,2151.0,5.764705882352941,5.2,5.730803177405119,5.718390804597701,256,4,4534.9
28,19,76,2017-12-23,False,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,2016-07-09,Female,Statistician II,High Net Worth,N,Yes,18.0,39.0,4213.0,6.777777777777778,5.666666666666667,5.946524064171123,5.48,1,8,7425.04
29,72,3368,2017-10-13,True,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,2016-12-06,Female,Technical Writer,Affluent Customer,N,No,16.0,0.0,2564.0,5.354838709677419,6.0,5.730803177405119,5.675531914893617,29,5,5971.18
30,91,1173,2017-03-15,False,Approved,WeareA2B,Standard,low,medium,642.31,513.85,2014-10-10,Female,Statistician IV,High Net Worth,N,No,16.0,39.0,2127.0,4.444444444444445,5.2,5.946524064171123,5.675531914893617,108,3,2042.9699999999998
32,1,3214,2017-02-18,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2016-11-14,Female,Software Engineer III,Mass Customer,N,Yes,9.0,24.0,4869.0,5.5,6.0,5.320754716981132,5.718390804597701,68,4,4838.349999999999
34,99,2003,2017-02-28,True,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,2006-10-01,Female,Statistician III,High Net Worth,N,Yes,8.0,0.0,4500.0,6.333333333333333,4.666666666666667,5.730803177405119,5.608695652173913,219,2,1821.05
35,0,2171,2017-08-20,False,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,2005-10-22,Female,Pharmacist,High Net Worth,N,No,10.0,0.0,2138.0,5.84,5.285714285714286,5.730803177405119,5.564971751412429,34,6,4500.04
36,92,3356,2017-07-07,False,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,2003-09-10,Male,Safety Technician II,Mass Customer,N,Yes,6.0,0.0,3121.0,6.307692307692308,6.777777777777778,5.730803177405119,5.882716049382716,4,5,6281.6900000000005
37,14,1040,2017-01-09,False,Approved,Solex,Standard,high,large,1842.92,1105.75,1995-10-24,Female,Food Chemist,High Net Worth,N,No,9.0,42.0,4556.0,5.666666666666667,4.8,5.783505154639175,5.718390804597701,161,4,4072.65
38,2,2916,2017-12-06,False,Approved,Solex,Standard,medium,medium,71.49,53.62,1991-11-07,Male,Product Engineer,Affluent Customer,N,Yes,9.0,0.0,4220.0,5.333333333333333,5.1,5.730803177405119,5.718390804597701,24,7,8475.59
39,12,427,2017-09-12,False,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,2005-12-07,Male,Assistant Media Planner,Mass Customer,N,Yes,2.0,21.0,2065.0,5.71875,5.85,6.683333333333334,5.661538461538462,109,4,4678.55
40,0,2448,2017-11-28,True,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,2005-10-22,Female,Structural Analysis Engineer,High Net Worth,N,No,10.0,25.0,2219.0,5.238095238095238,4.5,5.4375,5.564971751412429,6,6,5418.88
41,44,2570,2017-05-08,True,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,2003-02-16,Male,Professor,Mass Customer,N,Yes,18.0,40.0,4812.0,5.928571428571429,6.75,5.849162011173185,5.48,93,8,8168.89
43,76,488,2017-03-17,False,Cancelled,WeareA2B,Standard,low,medium,642.31,513.85,2014-10-10,Female,Help Desk Operator,Mass Customer,N,Yes,10.0,37.0,3564.0,6.576923076923077,5.25,5.545454545454546,5.564971751412429,27,7,4859.099999999999
44,46,165,2017-12-22,False,Approved,Solex,Standard,low,medium,1289.85,74.51,2003-02-16,Male,Administrative Officer,Mass Customer,N,Yes,12.0,33.0,2032.0,5.9393939393939394,5.666666666666667,5.75,5.955056179775281,8,9,9893.75
45,55,2787,2017-06-07,True,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,2015-06-17,Female,Marketing Assistant,Affluent Customer,N,Yes,6.0,37.0,3018.0,5.5,5.0,5.545454545454546,5.882716049382716,37,6,10014.36
46,66,3053,2017-06-20,False,Approved,Solex,Standard,medium,medium,1163.89,589.27,2016-07-09,Female,Account Coordinator,High Net Worth,N,No,17.0,33.0,2428.0,5.72,6.625,5.75,5.933734939759036,193,4,3823.21
47,35,475,2017-05-07,True,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,1994-07-12,Male,Nuclear Power Engineer,Affluent Customer,N,No,1.0,21.0,3012.0,6.40625,6.8,6.683333333333334,5.879194630872483,24,7,5131.25
48,81,1305,2017-06-10,True,Approved,Solex,Standard,medium,medium,1151.96,649.49,2012-04-10,Male,Executive Secretary,High Net Worth,N,Yes,6.0,0.0,4124.0,5.777777777777778,4.75,5.730803177405119,5.882716049382716,142,5,4862.79
49,86,1251,2017-06-17,False,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,2004-08-07,Male,Desktop Support Technician,Mass Customer,N,No,2.0,20.0,4519.0,5.580645161290323,5.5,5.633333333333334,5.661538461538462,61,4,2360.34
50,32,3103,2017-05-10,False,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,2002-03-22,Female,Safety Technician II,Mass Customer,N,No,20.0,0.0,4014.0,6.307692307692308,8.0,5.730803177405119,5.659090909090909,59,8,9084.18
51,77,3108,2017-03-24,False,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,2011-01-10,Male,Accounting Assistant III,Mass Customer,N,No,10.0,0.0,4670.0,6.5,5.6923076923076925,5.730803177405119,5.564971751412429,53,7,10194.970000000001
52,96,857,2017-11-27,False,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,2007-12-11,Female,General Manager,High Net Worth,N,No,4.0,0.0,4122.0,5.4,5.5,5.730803177405119,5.529761904761905,24,5,6692.93
53,6,3455,2017-12-21,True,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,1991-11-07,Male,Administrative Officer,Mass Customer,N,Yes,11.0,0.0,4670.0,5.9393939393939394,5.6923076923076925,5.730803177405119,5.649484536082475,9,6,4674.13
54,27,2549,2017-02-09,True,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,1994-07-12,Male,Pharmacist,Mass Customer,N,Yes,4.0,19.0,2323.0,5.84,5.545454545454546,5.647887323943662,5.529761904761905,57,4,6211.0
55,0,3140,2017-09-18,False,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,2005-05-10,Female,Legal Assistant,High Net Worth,N,No,16.0,32.0,2040.0,5.972972972972973,6.0,5.580246913580247,5.675531914893617,40,3,2714.79
56,47,3406,2017-11-14,False,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,1997-02-09,Female,Business Systems Development Analyst,Mass Customer,N,Yes,10.0,38.0,2096.0,5.525,5.75,5.722222222222222,5.564971751412429,46,10,12169.87
57,94,2294,2017-08-30,True,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,2013-06-09,Male,Associate Professor,Mass Customer,N,No,21.0,30.0,4017.0,5.514285714285714,5.222222222222222,5.651515151515151,5.851063829787234,73,7,9680.22
58,91,1031,2017-11-14,False,Approved,Solex,Standard,medium,medium,100.35,75.26,1999-07-26,Male,Junior Executive,Mass Customer,N,No,6.0,34.0,4053.0,5.774193548387097,7.111111111111111,5.548387096774194,5.882716049382716,46,3,2352.9300000000003
59,93,993,2017-02-15,True,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,2006-02-02,Female,Account Coordinator,High Net Worth,N,No,17.0,40.0,2871.0,5.72,8.666666666666666,5.849162011173185,5.933734939759036,0,9,8086.79
60,60,3473,2017-12-18,False,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,2014-07-28,U,Analog Circuit Design manager,Mass Customer,N,No,0.0,0.0,3803.0,5.666666666666667,4.0,5.730803177405119,5.716818,12,4,5487.64
61,0,1839,2017-02-24,False,Approved,OHM Cycles,Road,high,large,12.01,7.21,1993-10-02,Female,Internal Auditor,High Net Worth,N,Yes,5.0,30.0,4152.0,5.75,6.9,5.651515151515151,5.62051282051282,49,7,5930.82
62,33,1824,2017-12-18,True,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1992-10-11,Female,Safety Technician III,Affluent Customer,N,Yes,5.0,0.0,3048.0,5.875,6.5,5.730803177405119,5.62051282051282,12,7,7059.410000000001
64,0,2000,2017-07-08,False,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,2006-11-10,U,Assistant Professor,High Net Worth,N,Yes,0.0,0.0,2147.0,6.424242424242424,6.235294117647059,5.730803177405119,5.716818,44,3,2951.12
65,28,825,2017-05-16,True,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,2016-11-22,Male,Computer Systems Analyst IV,Affluent Customer,N,Yes,16.0,42.0,2066.0,5.846153846153846,6.333333333333333,5.783505154639175,5.675531914893617,10,8,6046.6900000000005
66,86,3315,2017-02-23,True,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,1999-07-26,Female,Account Executive,Mass Customer,N,Yes,5.0,23.0,3862.0,5.6,7.0,5.538461538461538,5.62051282051282,1,7,8032.110000000001
67,2,75,2017-07-03,True,Approved,Solex,Standard,medium,medium,71.49,53.62,2012-12-02,Female,VP Product Management,Mass Customer,N,No,19.0,39.0,2756.0,5.766666666666667,5.4,5.946524064171123,5.978571428571429,60,8,7130.63
68,4,1498,2017-09-30,True,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,2004-09-28,Female,Nurse,Affluent Customer,N,Yes,13.0,28.0,2250.0,6.1923076923076925,4.8,6.043478260869565,5.624277456647399,40,4,4031.87
69,38,1612,2017-10-21,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2012-09-15,Male,Community Outreach Specialist,High Net Worth,N,Yes,22.0,30.0,2441.0,5.428571428571429,2.0,5.651515151515151,5.3125,67,2,3904.22
70,27,2192,2017-05-06,True,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,1999-06-23,Male,Staff Accountant II,Mass Customer,N,No,14.0,0.0,4815.0,5.4,6.75,5.730803177405119,5.5683060109289615,42,6,4812.76
71,54,419,2017-01-03,False,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,2009-04-12,Female,VP Marketing,Affluent Customer,N,No,17.0,36.0,4223.0,6.925925925925926,5.0,5.871428571428571,5.933734939759036,14,7,7917.43
72,77,3307,2017-05-09,True,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,2011-05-09,Female,Analyst Programmer,High Net Worth,N,No,14.0,39.0,4740.0,5.526315789473684,5.090909090909091,5.946524064171123,5.5683060109289615,16,5,6066.91
73,22,2430,2017-07-23,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,1993-07-15,Male,Quality Engineer,Mass Customer,N,No,5.0,0.0,2040.0,6.178571428571429,6.0,5.730803177405119,5.62051282051282,115,4,3385.21
75,58,1346,2017-06-20,False,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,2015-10-18,Male,Administrative Assistant IV,Mass Customer,N,No,19.0,0.0,3620.0,6.4,6.6,5.730803177405119,5.978571428571429,15,9,10530.7
76,22,927,2017-03-10,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,1991-11-10,Male,Cost Accountant,Mass Customer,N,Yes,18.0,0.0,3199.0,4.965517241379311,4.875,5.730803177405119,5.48,295,3,3712.1099999999997
77,50,763,2017-06-02,False,Approved,WeareA2B,Standard,medium,small,175.89,131.92,2003-02-16,Female,Computer Systems Analyst IV,Affluent Customer,N,No,12.0,30.0,2143.0,5.846153846153846,6.0,5.651515151515151,5.955056179775281,74,6,6989.88
78,80,2397,2017-11-07,False,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,1998-12-16,Male,Analyst Programmer,Affluent Customer,N,Yes,4.0,32.0,2142.0,5.526315789473684,7.142857142857143,5.580246913580247,5.529761904761905,53,9,10464.01
79,87,102,2017-09-12,True,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,1997-08-25,Male,Quality Control Specialist,Affluent Customer,N,No,16.0,0.0,2168.0,5.75,5.857142857142857,5.730803177405119,5.675531914893617,42,7,6659.22
80,15,2884,2017-12-16,False,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,2005-12-07,Female,Assistant Professor,Mass Customer,N,No,15.0,0.0,2777.0,6.424242424242424,4.833333333333333,5.730803177405119,5.9869281045751634,14,8,6897.469999999999
81,84,759,2017-10-07,True,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,1992-10-02,Male,Clinical Specialist,High Net Worth,N,No,13.0,0.0,2227.0,6.448275862068965,6.0,5.730803177405119,5.624277456647399,23,9,8217.14
84,33,3297,2017-11-02,True,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1992-10-11,Male,Product Engineer,Mass Customer,N,No,13.0,42.0,3213.0,5.333333333333333,6.0,5.783505154639175,5.624277456647399,58,6,4162.96
85,84,2434,2017-02-13,True,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,2004-12-18,Male,Environmental Specialist,Affluent Customer,N,No,18.0,0.0,4207.0,5.608695652173913,6.0,5.730803177405119,5.48,0,9,10024.41
86,1,1861,2017-07-19,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2004-09-28,Female,Geological Engineer,Mass Customer,N,Yes,8.0,0.0,2770.0,5.375,6.083333333333333,5.730803177405119,5.608695652173913,29,6,7073.07
88,31,1390,2017-08-06,False,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,1993-04-20,Female,Accounting Assistant I,High Net Worth,N,Yes,1.0,17.0,3082.0,7.875,6.666666666666667,5.358974358974359,5.879194630872483,1,9,9070.85
89,0,2682,2017-04-04,True,Approved,OHM Cycles,Road,high,large,12.01,7.21,2010-05-05,Female,Accountant III,High Net Worth,N,Yes,20.0,30.0,4740.0,5.333333333333333,5.090909090909091,5.651515151515151,5.659090909090909,38,8,6122.34
90,62,439,2017-08-15,True,Approved,Solex,Standard,medium,medium,478.16,298.72,1993-06-23,Female,GIS Technical Architect,Affluent Customer,N,No,10.0,43.0,3806.0,4.863636363636363,5.6,5.610687022900764,5.564971751412429,99,6,6584.91
91,17,1579,2017-04-15,True,Approved,Solex,Standard,high,medium,1024.66,614.8,1996-04-05,Female,Desktop Support Technician,Affluent Customer,N,Yes,17.0,39.0,2101.0,5.580645161290323,5.666666666666667,5.946524064171123,5.933734939759036,40,10,12087.02
92,73,2984,2017-07-25,True,Approved,Solex,Standard,medium,medium,1945.43,333.18,2000-05-22,Female,Payment Adjustment Coordinator,Mass Customer,N,Yes,13.0,0.0,2106.0,5.428571428571429,5.0,5.730803177405119,5.624277456647399,158,5,6200.1
93,33,3470,2017-11-28,True,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1999-12-04,Female,Recruiting Manager,Affluent Customer,N,Yes,6.0,0.0,3121.0,6.193548387096774,6.777777777777778,5.730803177405119,5.882716049382716,2,8,14126.25
94,86,1,2017-12-23,False,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,2005-05-10,Female,Executive Secretary,Mass Customer,N,Yes,11.0,0.0,2016.0,5.777777777777778,6.0,5.730803177405119,5.649484536082475,7,11,9084.45
95,45,757,2017-02-26,False,Approved,Solex,Standard,medium,medium,441.49,84.99,1993-04-12,Male,Environmental Tech,Mass Customer,N,No,18.0,40.0,4019.0,5.85,4.25,5.849162011173185,5.48,72,5,3967.6
96,1,1778,2017-02-21,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2011-04-16,Female,Staff Accountant III,Mass Customer,N,Yes,2.0,17.0,3930.0,5.625,5.333333333333333,5.358974358974359,5.661538461538462,312,2,3040.4
97,80,211,2017-05-31,True,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,2004-12-18,Female,VP Marketing,Mass Customer,N,Yes,5.0,43.0,2159.0,6.925925925925926,6.666666666666667,5.610687022900764,5.62051282051282,39,9,10073.76
99,95,32,2017-03-26,False,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,2003-09-10,Female,Legal Assistant,Affluent Customer,N,No,4.0,22.0,2756.0,5.972972972972973,5.4,6.186046511627907,5.529761904761905,138,7,7873.18
100,0,119,2017-07-31,False,Approved,Solex,Standard,medium,medium,478.16,298.72,1998-12-17,Male,Associate Professor,High Net Worth,N,Yes,9.0,36.0,3070.0,5.514285714285714,7.2,5.871428571428571,5.718390804597701,30,4,5217.66
101,18,2347,2017-07-27,False,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,2015-08-10,Female,Programmer Analyst I,High Net Worth,N,No,11.0,0.0,2049.0,4.2,5.0,5.730803177405119,5.649484536082475,87,9,10730.51
102,4,2353,2017-04-14,False,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,2011-04-16,Male,Health Coach IV,Affluent Customer,N,Yes,12.0,39.0,2262.0,7.111111111111111,6.5,5.946524064171123,5.955056179775281,81,10,11013.74
103,33,788,2017-11-12,False,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1992-10-11,Male,Social Worker,Mass Customer,N,No,11.0,0.0,2141.0,5.947368421052632,5.0,5.730803177405119,5.649484536082475,39,7,8089.72
104,78,1468,2017-09-12,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,2004-07-25,Female,Financial Advisor,Mass Customer,N,No,22.0,39.0,2519.0,5.818181818181818,4.833333333333333,5.946524064171123,5.3125,24,7,7792.76
105,89,821,2017-10-26,False,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,2013-06-09,Male,Financial Analyst,Mass Customer,N,Yes,7.0,36.0,2530.0,6.166666666666667,5.0,5.871428571428571,5.862068965517241,33,5,4826.39
106,70,2489,2017-02-15,False,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,2015-04-11,Female,Speech Pathologist,Mass Customer,N,No,15.0,41.0,2102.0,6.258064516129032,6.25,5.782608695652174,5.9869281045751634,40,8,11411.16
108,26,947,2017-10-11,True,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,1993-05-26,Female,Pharmacist,Mass Customer,N,No,10.0,31.0,3021.0,5.84,5.857142857142857,5.479591836734694,5.564971751412429,80,6,6685.68
110,36,1076,2017-11-04,False,Approved,Solex,Standard,low,medium,945.04,507.58,1995-12-19,Male,Pharmacist,Affluent Customer,N,No,2.0,17.0,2515.0,5.84,7.5,5.358974358974359,5.661538461538462,9,12,14390.1
111,0,3320,2017-06-11,True,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,2015-06-17,Female,Nuclear Power Engineer,High Net Worth,N,No,6.0,23.0,3109.0,6.40625,6.0,5.538461538461538,5.882716049382716,137,10,10109.98
112,84,779,2017-10-09,False,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,1992-10-02,Female,Staff Accountant III,High Net Worth,N,No,7.0,25.0,2093.0,5.625,6.7,5.4375,5.862068965517241,82,5,4372.34
113,98,3296,2017-06-07,True,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,1991-05-06,Female,Quality Engineer,Affluent Customer,N,Yes,17.0,43.0,2154.0,6.178571428571429,5.6875,5.610687022900764,5.933734939759036,64,11,8887.0
114,75,455,2017-10-24,True,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,2003-09-09,Male,Civil Engineer,Mass Customer,N,Yes,5.0,26.0,2233.0,5.722222222222222,5.6,5.4523809523809526,5.62051282051282,67,3,4076.17
115,76,1779,2017-05-01,False,Approved,WeareA2B,Standard,low,medium,642.31,513.85,2005-05-10,Male,Information Systems Manager,Affluent Customer,N,No,5.0,21.0,3141.0,5.806451612903226,4.25,6.683333333333334,5.62051282051282,129,6,8886.92
117,42,806,2017-03-24,False,Approved,OHM Cycles,Road,medium,small,1810.0,1610.9,1993-04-12,Male,Sales Representative,Mass Customer,N,Yes,7.0,25.0,2767.0,5.703703703703703,6.0,5.4375,5.862068965517241,31,4,4854.46
119,64,1591,2017-02-20,False,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,2005-10-22,Male,Operator,Mass Customer,N,Yes,14.0,41.0,2073.0,5.434782608695652,7.0,5.782608695652174,5.5683060109289615,29,12,13908.32
120,0,678,2017-06-16,False,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,2015-04-11,Female,Accounting Assistant II,High Net Worth,N,No,2.0,22.0,4352.0,5.444444444444445,5.6,6.186046511627907,5.661538461538462,94,4,3152.34
121,25,50,2017-12-04,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,1992-10-11,Male,Account Executive,Mass Customer,N,Yes,16.0,37.0,2047.0,5.6,6.5,5.545454545454546,5.675531914893617,26,8,9252.66
122,24,1038,2017-12-01,True,Approved,Solex,Road,medium,large,1777.8,820.78,1993-05-26,U,Engineer I,Mass Customer,N,Yes,0.0,0.0,3809.0,6.111111111111111,4.5,5.730803177405119,5.716818,12,4,6144.11
123,31,1453,2017-03-05,True,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,2015-08-02,Male,Computer Systems Analyst I,High Net Worth,N,No,13.0,40.0,2567.0,5.642857142857143,5.421052631578948,5.849162011173185,5.624277456647399,0,5,6332.4
124,98,1339,2017-03-21,False,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,1997-02-09,Female,Editor,High Net Worth,N,No,14.0,39.0,3805.0,5.5625,4.571428571428571,5.946524064171123,5.5683060109289615,102,5,6447.48
